Wilmer Leiser  
Hermina Peoples  
Rasheeda Moffett    
Mickie Weingartner  
Millicent Amato  
Charlotte Mabery  
Lita Herwig      
Isreal Kaul  
Pearline Kulick  
Consuelo Signorelli  
Charmain Drost    
havon Goetsch  
Randolph Rotunno  
Foster Triolo  
Inger Church  
Elizabet Marable   
Lucina Okamura    
Codi Lex  
Buena Meneely  
Nettie Laforce  
Maryland Mclamb    
Newton Mcbroom  
Bong Penn  
Isobel Rocchio  
Roland Sokol  
Olevia Gordon  
Dia Soles  
Ciara Golla  
Mckinley Finkbeiner    
See Revard  
Bernita Houpt    
Rick Knight  
Marilou Crippen  
Merlene Corson  
Buck Coury  
Delia Delagarza  
Rosita Andrew   
Elodia Degarmo  
